a,b,c,t
1,1,1,1.0596601011416096
1,1,6,0.027417369981668986
1,1,11,-0.21708791280538065
1,1,16,-0.3482643442148353
1,1,21,-0.43536121700180397
1,1,26,-0.4995129357248633
1,1,31,-0.5497778112924908
1,1,36,-0.5908148288943844
1,1,41,-0.625315139945383
1,1,46,-0.6549643051113697
1,1,51,-0.6808832142570104
1,1,56,-0.7038524906600286
1,1,61,-0.7244361320852726
1,1,66,-0.7430540113562468
1,1,71,-0.7600265813439999
1,1,76,-0.7756036086775232
1,1,81,-0.7899832971812398
1,1,86,-0.8033253991252418
1,1,91,-0.81576043790141
1,1,96,-0.8273963420743508
1,6,1,6.434938508825775
1,6,6,5.4026957776658335
1,6,11,5.1581904948787844
1,6,16,5.02701406346933
1,6,21,4.939917190682361
1,6,26,4.875765471959301
1,6,31,4.825500596391675
1,6,36,4.784463578789781
1,6,41,4.7499632677387815
1,6,46,4.720314102572795
1,6,51,4.694395193427154
1,6,56,4.671425917024136
1,6,61,4.650842275598892
1,6,66,4.632224396327918
1,6,71,4.615251826340165
1,6,76,4.599674799006642
1,6,81,4.585295110502925
1,6,86,4.571953008558923
1,6,91,4.559517969782755
1,6,96,4.547882065609814
1,11,1,8.253345919536722
1,11,6,7.22110318837678
1,11,11,6.976597905589731
1,11,16,6.845421474180276
1,11,21,6.758324601393308
1,11,26,6.694172882670248
1,11,31,6.64390800710262
1,11,36,6.602870989500727
1,11,41,6.568370678449728
1,11,46,6.5387215132837415
1,11,51,6.512802604138101
1,11,56,6.489833327735083
1,11,61,6.469249686309839
1,11,66,6.450631807038865
1,11,71,6.433659237051112
1,11,76,6.418082209717588
1,11,81,6.403702521213872
1,11,86,6.39036041926987
1,11,91,6.377925380493702
1,11,96,6.366289476320761
1,16,1,9.377426267860953
1,16,6,8.345183536701013
1,16,11,8.100678253913964
1,16,16,7.969501822504508
1,16,21,7.8824049497175395
1,16,26,7.818253230994481
1,16,31,7.767988355426853
1,16,36,7.72695133782496
1,16,41,7.692451026773961
1,16,46,7.662801861607974
1,16,51,7.636882952462333
1,16,56,7.613913676059315
1,16,61,7.5933300346340715
1,16,66,7.5747121553630965
1,16,71,7.5577395853753435
1,16,76,7.54216255804182
1,16,81,7.527782869538104
1,16,86,7.514440767594102
1,16,91,7.502005728817934
1,16,96,7.490369824644993
1,21,1,10.19322741431188
1,21,6,9.160984683151938
1,21,11,8.916479400364889
1,21,16,8.785302968955433
